Problem,Ref,SentenceBuilder,Architecture,PPL_avg,PPL_min,PPL_max,PPL_median,number_solutions,time_per_solution,time_per_run,number_solutions_under_base,failed_attempts,self_bleu,bleu,seed_no_improvement,Base_PPL,search_time,search_time_per_solution
MNREAD_MLM_Config,Bonlarron et al. (2023),Perplexity Masking,CPBP,175.99861553417193,48.16758207841353,542.486494584517,140.106220592152,364,257.3219233746655,8409.391636363636,14,0,0.8420735914561024,0.1686809416575925,6,43.78467386419123,6657.93709090909,205.3688481614159
MNREAD_MLM_Config,Mansfield et al. (2019),Perplexity Masking,CPBP,321.99482583516374,90.77610473632812,1315.2545776367188,250.8539596557617,161,299.16410999652476,9040.7264,7,0,0.846547355271553,0.08520097996308781,2,84.4153434753418,5136.926399999999,158.42006424928599
