Problem,Ref,SentenceBuilder,Architecture,PPL_avg,PPL_min,PPL_max,PPL_median,number_solutions,time_per_solution,time_per_run,number_solutions_under_base,failed_attempts,self_bleu,bleu,seed_no_improvement,Base_PPL,search_time,search_time_per_solution
CollieSent3_MLM_Config,CP,Perplexity Masking,CPBP,795.6103749215603,58.695229440927505,6079.3424072265625,369.9861920773983,400,97.085775,4854.28875,397,0,0.8295231043131274,0.020586705526108032,0,7516.021240234375,1740.41375,34.808274999999995
CollieSent3_MLM_Config,CP+LLM,Perplexity Masking,CPBP,69.71161117553712,8.483207702636719,261.3495788574219,53.41025161743164,50,141.58542,7079.271,49,0,0.8879340702512222,0.08294875600478159,0,180.77061462402344,1394.2709999999997,27.885419999999996
